grant_id,funding,sponsor,awardee,title,date,is_anticipated,department_id,capabilities_id
G00080,274265,the NSF,Keren Zhou,Collaborative Research: Elements: DLToolkit: A Novel Performance Profiling and Analysis Infrastructure for Scientific Deep Learning,2025-07-28,True,,
G00081,599956,the NSF,Antonis Anastasopoulos,"CAREER: Leveraging Grammar Books to Develop Language Technologies for Data-Scarce Languages natural language processing, translation, under-served languages",2025-07-28,True,,
G00082,275000,NSF,Bo Han,Collaborative Research: NeTS: Small: Revolutionizing Immersive Video Streaming with Neural Content Representation,2025-07-28,True,,
G00083,50000,XSOC Corporation,Duminda Wijesekera,SENTINEL – Side-channel Evaluation & Novel Techniques in XSOC,2025-07-28,True,,
G00084,50000,XSOC Corporation,Matthew Jablonski,SENTINEL – Side-channel Evaluation & Novel Techniques in XSOC,2025-07-28,True,,
G00085,300000,the Virginia Innovation Partnership Authority,Liza Price Wilson Durant,"Acceleration, Translation, and Advanced Prototyping for University-Linked Technology (CATAPULT)",2025-07-28,True,,
G00086,500000,the Virginia Innovation Partnership Authority,Liza Price Wilson Durant,Commonwealth Cyber Initiative+A FY25,2025-07-28,True,,
G00087,164834,DARPA,Peter Paris,Next Generation Electronic Surveillance Technology (NGEST),2024-07-14,True,,
G00088,150000,DARPA,Missy Cummings,Autonomy Standards and Ideals with Military Operational Values,2025-07-14,True,,
G00089,78619,Virginia Innovation Partnership Authority,Liza Price Wilson Durant,Cybersecurity Field training Experience (C-FTE),2025-07-07,True,,
G00090,450000,the Virginia Innovation Partnership Authority,Liza Price Wilson Durant,the Commonwealth Cyber Initiative Fellow program,2025-07-07,True,,
G00091,34596,the US DOD,Nicholas Kent Clark,Time Series Analysis Distributed Computing,2025-06-16,True,,
G00092,75000,the Virginia Innovation Partnership Authority,Foteini Baldimtsi,Combating Crypto Risk,2025-06-16,True,,
G00093,75000,the Virginia Innovation Partnership Authority,Kun Sun,Securing Computer Code using Dynamically Generated Digital Signature,2025-06-16,True,,
G00094,75000,the Virginia Innovation Partnership Authority,Brian L. Mark,Secure Mesh Communications with Durable Multi-Protocol Handover,2025-06-16,True,,
G00095,75000,the Virginia Innovation Partnership Authority,Kai Zeng,Secure Mesh Communications with Durable Multi-Protocol Handover,2025-06-16,True,,
G00096,75000,the Virginia Innovation Partnership Authority,Massieh Kordi Boroujeny,Distortion-free Mult-bit Watermarking for Large Language Models,2025-06-16,True,,
G00097,75000,the Virginia Innovation Partnership Authority,Kai Zeng,Distortion-free Mult-bit Watermarking for Large Language Models,2025-06-16,True,,
G00098,75000,the Virginia Innovation Partnership Authority,Mingkui Wei,Obfuscating Text and Images for Data Loss Prevention,2025-06-16,True,,
G00099,442147,the Virginia Innovation Partnership Authority,Liza Price Wilson Durant,Commonwealth Cyber Initiative traineeship program in cybersecurity,2025-06-16,True,,
G00100,50000,the NSF,Bo Han,I-Corps: Translation Potential of Next Generation Telepresence Enriched by Immersive Technologies,2025-05-27,True,,
G00101,295081,the NSF,Thanhvu H. Nguyen,CAREER: NeuralSAT: A Constraint-Solving Framework for Verifying Deep Neural Networks,2025-05-19,True,,
G00102,1122655,the NIH,Lily Wang,SCH: Novel and Interpretable Statistical Learning for Brain Imaging Data,2025-05-19,True,,
G00103,350000,the Air Force Research Laboratory (AFRL),Ali Khalid Raz,(MEADOW) Management Environment and Algorithms for Distributed Optimal Workflows,2025-05-05,True,,
G00104,200000,the U.S. Department of Energy (US DOE),Weiwen Jiang,MACH-Q: Modular and Error-Aware Software Stack for Heterogeneous Quantum Computing Ecosystems,2025-05-05,True,,
G00105,275000,the Virginia Department of Energy,Liling Huang,Installation of E2 Energy Exploration Center,2025-05-05,True,,
G00106,1500,the US DOD,Rochelle R. Jones,Drone Detection and ID--Market Survey,2025-04-14,True,,
G00107,42000,the University of Virginia,Zhuangdi Zhu,Secure and Privacy-Conscious Threat Detection via Federated Learning and Graph Neural Networks,2025-04-14,True,,
G00108,454079,Naval Sea Systems Command,Antonis Anastasopoulos,STTR Phase II: Digital Engineering – Automated Knowledge Base Extraction and Student Assessment,2025-04-07,True,,
G00109,60000,Air Force Research Laboratory,Missy Cummings,Machine Learning for Space Situation Awareness,2025-03-31,True,,
G00110,112000,Griffiss Institute,Kamaljeet Sanghera,AI Defense opportunities for students,2025-03-31,True,,
G00111,112000,Griffiss Institute,Mihai Boicu,AI Defense opportunities for students,2025-03-31,True,,
G00112,65648,the US DOE,Keren Zhou,GPU Modeling Research of Smart Modeling and Simulation for HPC (SMASH),2025-03-10,True,,
G00113,10000,the National Institutes of Health (NIH),Jenny M. Phan,"AIM-AHEAD: All of Us Training Program - Cohort 210,000",2025-03-10,True,,
G00114,15000,Raytheon Systems,Cameron Nowzari,Raytheon Drone Competition participation,2025-03-03,True,,
G00115,15000,Raytheon Systems,Xuesu Xiao,Raytheon Drone Competition participation,2025-03-03,True,,
G00116,114000,"the FAA NEXTOR III: DO 31: System Safety Management Transformation (SSMT), Uncertainty Quantification",John Friedrich Shortle,Aviation Fault,2025-02-24,True,,
G00117,290779,U.S. DOE,Duminda Wijesekera,Secure Telecommunications Architecture for Trusted and Resilient Electric Communications (STAR TREC),2025-02-24,True,,
G00118,290779,U.S. DOE,Bo Yu,Secure Telecommunications Architecture for Trusted and Resilient Electric Communications (STAR TREC),2025-02-24,True,,
G00119,23994,Health Resources and Services Administration (HRSA),Jenny M. Phan,,2025-02-24,True,,
G00120,33333,Virginia Tech,Emanuela Marasco,GenA(eye)ris: Generating Synthetic Iris Biometrics for Presentation Attack Security and Security for Generative Biometric Models,2025-02-24,True,,
G00121,2250,the DoD,Mingkui Wei,Comms 01 Covert Communications to Working Dogs,2025-02-17,True,,
G00122,50000,the Virginia Innovation Partnership Authority,Kun Sun,Leveraging Large Language Models for Enhanced Software Security Analysis and Malware Detection,2025-02-10,True,,
G00123,641778,the NSF,Weiwen Jiang,CAREER: Efficient and Scalable Deployment Automation for Quantum-Centric Computing,2025-02-04,True,,
G00124,367867,the NSF,Evgenios Kornaropoulos,CAREER: Encrypted Systems with Fine-Grained Leakage,2025-02-04,True,,
G00125,154777,the Virginia Innovation Partnership Authority,Liza Price Wilson Durant,High School Experiential Learning Program,2025-02-04,True,,
G00126,248742,the NSF,Lily Wang,Collaborative Research: Unlocking Complex Heterogeneity in Large Spatial-Temporal Data with Scalable Quantile Learning,2024-09-16,True,,
G00127,87833,the DOD,Massimiliano Albanese,the DoD Cyber Scholarship Grant,2024-09-09,True,,
G00128,100000,the Virginia Innovation Partnership Corporation,Shaghayegh Bagheri,Innovative Slip-Resistant Technology for shoe outsoles: Leveraging Bio-Inspired Composite Materials for Enduring Performance in Icy Conditions,2024-09-09,True,,
G00129,106848,the U.S. DOE,Paulo Cesar Costa,IUC 1 BP3-005 Energy Controller,2024-08-26,True,,
G00130,719999,the NSF,Yotam Gingold,Collaborative Research: HCC: Medium: Untethered3D: In-Air 3D Modeling Using Non-Visual Feedback,2024-08-26,True,,
G00131,195487,the National Institutes of Health (NIH),Ketul Chandrakant Popat,Nanostructured Surfaces With Improved Hemocompatibility,2024-08-12,True,,
G00132,25000,Loudoun Water,Kirin Emlet Furst,Understanding the Factors Affecting Variability in the Potomac River Watershed,2024-06-10,True,,
G00133,35820,ONR,Ali Beheshti,Finite Element Based Crack Propagation Study for Advanced Alloys Subjected to Laser Shock Peening,2024-06-03,True,,
G00134,500000,the NSF,Vijay K. Shah,CC* Integration-Large: M2- NET: An Integrated Access and Backhaul Millimeter-wave Wireless Network for Campus Connectivity and Research,2024-04-15,True,,
G00135,500000,the NSF,Parth Pathak,CC* Integration-Large: M2- NET: An Integrated Access and Backhaul Millimeter-wave Wireless Network for Campus Connectivity and Research,2024-04-15,True,,
G00136,142841,the NSF,Alok K. Berry,Louis Stokes New STEM Pathways and Research Alliance: Virginia – North Carolina (2023-2028),2024-02-05,True,,
G00137,35000,the Air Force Research Laboratory,Daniel Barbara,Metadata Overlay for Live-Streaming and Geolocating Security Incident Reporting Systems,2024-02-05,True,,
G00138,100000,"Cybastion Institute of Technology, LLC",Duminda Wijesekera,an Advisory role for the Ivory Coast Digital City,2024-01-29,True,,
G00139,70000,the Taiwan Institute of Economic Research,Liling Huang,Wide Area Measurement System (WAMS) Technology in the Power Sector: A Survey and Study of Industry Applications and Experience,2024-01-29,True,,
G00140,49997,the Virginia Innovation Partnership Authority,Ziyu Yao,Securing the Supply Chain of Large Language Models as Software with Explainable AI and Humans in the Loop,2024-01-29,True,,
G00141,344626,the National NSF,Xuan Wang,Learning Coordination for Multi-Autonomous Multi-Human (MAMH) Agent Systems with Guaranteed Safety,2024-01-29,True,,
G00142,15000,Raytheon Systems,Cameron Nowzari,,2024-01-22,True,,
G00143,15000,Raytheon Systems,Mary L. Cummings,,2024-01-22,True,,
G00144,15000,Raytheon Systems,Xuesu Xiao,,2024-01-22,True,,
G00145,38245,the Virginia Transportation Research Council,Zhu Shanjiang,EOI to RNS 23-3: Leveraging Connected Car Data to Improve Travel Demand Modeling,2024-01-22,True,,
G00146,38245,the Virginia Transportation Research Council,Anand N. Vidyashankar,EOI to RNS 23-3: Leveraging Connected Car Data to Improve Travel Demand Modeling,2024-01-22,True,,
G00147,50000,the Virginia Innovation Partnership Authority,Lannan Luo,Unsupervised Binary Code Translation for Low-Resource Architectures with Applications to Vulnerability,2024-01-16,True,,
G00148,50000,the Virginia Innovation Partnership Authority,Qiang Zeng,Towards Lifetime Supply Chain Security for Internet of Things: Testing an Update Before Trusting It,2024-01-16,True,,
G00149,49993,the Virginia Innovation Partnership Authority,Vijay K. Shah,Fingerprinting Technology for Enhancing 5G/NextG O-RAN Supply Chain Risk,2024-01-16,True,,
G00150,50000,the Virginia Innovation Partnership Authority,Md Tanvir Arafin,Securing Chiplet-based Semiconductor Manufacturing from Untrusted Supply Chains,2024-01-16,True,,
G00151,149825,Inova Healthcare,Jason F. Goldberg,MicroRNA in Pediatric Heart Transplant Rejection,2024-01-08,True,,
G00152,25000,the Electric Power Research Institute,Kuo Tian,PFAS Stabilization,2024-01-08,True,,
G00153,100000,the Virginia Innovation Partnership Authority,Sai Manoj Pudukotai Dinakarrao,Cyber Sentinel: Safeguarding Autonomous Vehicle Supply Chains against Backdoors and Hardware,,True,,
G00154,258526,the NSF,Gurdip Singh,EAGER: Distributed Computing Models and Algorithms for Pervasive Systems,2024-01-02,True,,
G00155,492516,the Virginia Transportation Research Council,Burak Tanyu,Evaluating the Feasibility and Benefit on Impervious Layer Inclusion Above Ground Water Table (GWT),2024-01-02,True,,
G00156,5635,the NIH,Jiayang Sun,"Sleep Phenotypes in Spinal Cord Injury (SCI5,635)",2023-12-11,True,,
G00157,20500,the US DOD,Ali Khalid Raz,Advanced Model-Based Tools for Portfolio Management and Analytic: System Architecture and Multi-Attribute Decision Making for Integrating Autonomy Phase 2,2023-12-05,True,,
G00158,5000,(ORAU),Quentin Sanders,"A Robotic System to Automatically, and Quantitatively Assess Hand Tactile Deficits Post-Stroke",2023-12-05,True,,
G00159,,the Virginia Department of Transportation,Burak Tanyu,the Collection of Instrumentation Data From the RAP-Aggregate Base Project on Minnieville Road,2023-11-13,False,,
G00160,303524,the NSF,Jeffrey Lawrence Moran,Collaborative Research: ISS: Colloidal Microflyers: Observation and Characterization of (Self-)Thermophoresis through Air in Microgravity,2023-11-06,True,,
G00161,87625,the NSA,Massimiliano Albanese,the DoD CySP Grant Program - at George Mason University,2023-11-06,True,,
G00162,87625,the NSA,Sushil Jajodia,the DoD CySP Grant Program - at George Mason University,2023-11-06,True,,
G00163,385352,the NSF,Kirin Emlet Furst,Disinfection Resiliency and Microbial Risk in Drinking Water Distribution Systems During Extreme Heat Disasters,2023-10-30,True,,
G00164,299486,the National Science Foundation (NSF),Aditya Johri,,2023-10-23,True,,
G00165,299486,the National Science Foundation (NSF),Khondkar R. Islam,,2023-10-23,True,,
G00166,299486,the National Science Foundation (NSF),Vivian Genaro Motti,,2023-10-23,True,,
G00167,21000,the US DOD,Ali Khalid Raz,Digital Engineering Tools for Acquisition Support: A Systematic Approach for Autonomous System Acquisition and Integration into SoS via Data-Driven Trade Studies Digital Engineering,2023-10-23,True,,
G00168,50000,the Virginia Innovation Partnership Authority,Lap Fai Yu,Detecting Anomalous Virtual Reality Teleoperations via Artificial Intelligence,2023-10-23,True,,
G00169,303765,the Virginia Innovation Partnership Authority,Liza Price Wilson Durant,,2023-10-23,True,,
G00170,92683,the NIH,Lucas R.F. Henneman,Historical social and environmental determinants of memory decline and dementia among U.S. older adults,2023-10-16,True,,
G00171,250000,the US DOI,Pei Dong,"Engineering Spatial Wood Carbon Scaffolds with Nanocellulose Fillers for Water Deionization Water desalination,",2023-10-16,True,,
G00172,1871692,the NSF,Vivian Genaro Motti,Success via a Human-Assistive Wearable Technology Partnership Fostering Neurodiverse Individuals' Work Success via Assistive Wearable Technology,2023-10-16,True,,
G00173,550000,the NSF,Maryam Parsa,"Collaborative Research: NCS-FR: DEJA-VU: Design of Joint 3D Solid-State Learning Machines for Various Cognitive Use-Cases Cognitive Memory, Neuromorphic Computing",2023-10-16,True,,
G00174,53765,the Virginia Innovation Partnership Authority,Liza Price Wilson Durant,the CCI Scholars Program – Undergraduate Research,2023-10-16,True,,
G00175,20000,the Virginia Innovation Partnership Authority,Liza Price Wilson Durant,CCI - FY24 Teacher Professional Development,2023-10-16,True,,
G00176,45000,the U.S. Department of the Navy,Brian L. Mark,Coherent Sensing Approaches for Dynamic Spectrum Allocation,2023-10-02,True,,
G00177,45000,the U.S. Department of the Navy,Yue Wang,Coherent Sensing Approaches for Dynamic Spectrum Allocation,2023-10-02,True,,
G00178,45000,the U.S. Department of the Navy,Zhi Tian,Coherent Sensing Approaches for Dynamic Spectrum Allocation,2023-10-02,True,,
G00179,50000,the Naval Air Warfare Center Aircraft Division,Antonios Anastasopoulos,STTR Phase I DIGITAL ENGINEERING -Automated Knowledge Base Extraction and Student Assessment,2023-10-02,True,,
G00180,238622,the NSF,Andrian Marcus,Collaborative Research: SHF: Medium: Bug Report Management 2.0,2023-10-02,True,,
G00181,800000,the NSF,Kai Zeng,Collaborative Research: SaTC: CORE: Medium: Securing Next G Millimeter-Wave Communication in Programmable RF Environments with Reconfigurable Intelligent Surface (SECURIS),2023-10-02,True,,
G00182,108592,the American Statistical Association,Jonathan L. Auerbach,Monitoring and Reporting of the Health of the Federal Statistical System,2023-10-02,True,,
G00183,132000,the USDA,Kuo Tian,Rural Utilities Service,2023-09-25,True,,
G00184,69000,the ONR,Mary L. Cummings,Sidekick for Submarine Watchstander Augmentation (TAPEE),2023-09-25,True,,
G00185,78338,the CIA,Gheorghe D. Tecuci,Automatic Fake News Detection,2023-09-25,True,,
G00186,500,Prince William Country Public Schools,Kamaljeet Sanghera,,2023-09-25,True,,
G00187,100000,the National Aeronautics and Space Administration (NASA),Celso Moller Ferreira,SHORE-BREAK: Assessing and predicting Arctic Coastal Erosion Hazards with ICESat-2,2023-09-18,True,,
G00188,100000,the National Aeronautics and Space Administration (NASA),Paul R. Houser,SHORE-BREAK: Assessing and predicting Arctic Coastal Erosion Hazards with ICESat-2,2023-09-18,True,,
G00189,42389,NOA,Seiyon Lee,EXCLAIM: a Decision Support Toolkit to Mitigate Impacts of Cascading Climate Hazards,2023-09-18,True,,
G00190,416666,the Virginia Innovation Partnership Authority,Liza Price Wilson Durant,NoVA Node CCI FY24 Initiatives,2023-09-18,True,,
G00191,50000,the Virginia Innovation Partnership Authority,Kai Zeng,Fingerprinting Techniques for Millimeter-Wave Device Authentication in 5G/NextG Wireless Communications,2023-09-18,True,,
G00192,475791,the George Mason Research Foundation,Jean-Pierre Auffret,NATO MERLIN Phase III,2023-09-18,True,,
G00193,475791,the George Mason Research Foundation,Linton Wells,NATO MERLIN Phase III,2023-09-18,True,,
G00194,475791,the George Mason Research Foundation,David G. Boulos,NATO MERLIN Phase III,2023-09-18,True,,
G00195,1199772,the National Institutes of Health,Lily Wang,SCH: Novel and Interpretable Statistical Learning for Brain Imaging Data,2023-09-11,True,,
G00196,239524,the Air Force Research Laboratory,Daigo Shishika,Rethinking Assignment-based Methods in Multi-agent Differential Games,,True,,
G00197,87672,the Institute of Statistical Sciences,John Stufken,Institute of Statistical for for Co-Editorship of Statistica Sinica,2023-09-05,True,,
G00198,10000,Northeastern University,Mark Huntington Snyder,NU/Inclusive Computing,2023-09-05,True,,
